object,pattern_match,merged_noun_chunks,merged_sent,keywords
"ABSTRACT Neonatal diarrhea remains the primary cause of mortality in dairy calves around the world, and optimal treatment protocols are needed. The main goals of therapy are to restore hydration and electrolyte concentrations, correct strong ion (metabolic) acidemia, and provide nutritional support. Administration of oral electrolyte solutions (OES) has long been the primary method used to treat neonatal diarrhea in humans and calves because OES are capable of addressing each of the primary goals of therapy. In calves with moderate dehydration, we hypothesized that oral electrolytes would be as good as or better than small volumes of intravenous (IV) or subcutaneous (SC) fluids. Therefore, the main goal of this study was to compare the ability of a commercially available oral electrolyte solution (OES) administered alone or in combination with hypertonic saline with small volumes of IV or SC fluid therapy to resuscitate calves with diarrhea. Thirty-three Holstein calves from 5 to 14 d of age were utilized in this clinical trial. Diarrhea and dehydration were induced by adding sucrose to the milk replacer. In addition, hydrochlorothiazide and spironolactone were given orally and furosemide intramuscularly. Depression status, clinical hydration scores, fecal consistency, and body weight were recorded at regular intervals. Treatment began when calves had severe diarrhea and had a decrease in plasma volume of at least 10%. Calves were randomly assigned to 1 of 4 treatment groups of 8 to 9 calves per group: (1) OES; (2) OES with hypertonic saline (4 mL/kg, IV); (3) IV fluids (lactated Ringer's, 2 L); or (4) SC fluids (lactated Ringer's, 2 L). Treatments were given at 0 and 12 h. Changes in plasma volume, blood pH, electrolyte levels, and physical examination scores were determined before therapy and again at 1, 2, 4, 8, and 12 h after each treatment. All 4 treatments were ultimately successful in improving hydration as well as increasing blood pH; however, animals in both groups that received OES had much faster resuscitation than those in either the IV or SC fluid group. In conclusion, oral electrolyte products remain the gold standard for resuscitating diarrheic calves with moderate dehydration and acidemia and will likely perform better than small volumes of IV lactated Ringer's solution. Subcutaneous fluids by themselves are a poor treatment option and should be only be used as supportive therapy following the initial correction of hypovolemia and metabolic acidosis.","In calves with moderate dehydration, we hypothesized that oral electrolytes would be as good as or better than small volumes of intravenous (IV) or subcutaneous (SC) fluids.","['In', 'calves', 'with', 'moderate_dehydration', ',', 'we', 'hypothesized', 'that', 'oral_electrolytes', 'would', 'be', 'as', 'good', 'as', 'or', 'better', 'than', 'small_volumes', 'of', 'intravenous', '(', 'IV', ')', 'or', 'subcutaneous', '(', 'SC', ')', 'fluids', '.']","In calves with moderate_dehydration , we hypothesized that oral_electrolytes would be as good as or better than small_volumes of intravenous ( IV ) or subcutaneous ( SC ) fluids .","['calves', 'moderate_dehydration', 'oral_electrolytes', 'small_volumes', 'intravenous ( IV', 'SC']"
"Mammals evolved in a microbial world, and consequently, microbial symbionts have played a role in their evolution. An exciting new subdiscipline of metagenomics considers the ways in which microbes, particularly those found in the gut, have facilitated the ecological and phylogenetic radiation of mammals. However, the vast majority of such studies focus on domestic animals, laboratory models, or charismatic megafauna (e.g., pandas and chimpanzees). The result is a plethora of studies covering few taxa across the mammal tree of life, leaving broad patterns of microbiome function and evolution unclear. Wildlife microbiome research urgently needs a model system in which to test hypotheses about metagenomic involvement in host ecology and evolution. We propose that bats (Order: Chiroptera) represent a model system ideal for comparative microbiome research, affording opportunities to examine host phylogeny, diet, and other natural history characteristics in relation to the evolution of the gut microbiome.",Wildlife microbiome research urgently needs a model system in which to test hypotheses about metagenomic involvement in host ecology and evolution.,"['Wildlife_microbiome_research', 'urgently', 'needs', 'a_model_system', 'in', 'which', 'to', 'test', 'hypotheses', 'about', 'metagenomic_involvement', 'in', 'host_ecology', 'and', 'evolution', '.']",Wildlife_microbiome_research urgently needs a_model_system in which to test hypotheses about metagenomic_involvement in host_ecology and evolution .,"['Wildlife_microbiome_research', 'a_model_system', 'hypotheses', 'host_ecology', 'evolution']"
"The mechanisms responsible for virulence of influenza viruses in humans remain poorly understood. A prevailing hypothesis is that the highly pathogenic virus isolates cause a severe cytokinemia precipitating acute respiratory distress syndrome and multiple organ dysfunction syndrome. Cynomolgus macaques (Macaca fascicularis) infected with a human highly pathogenic avian influenza (HPAI) H5N1 virus isolate (A/Vietnam/1203/2004) or reassortants of human influenza virus A/Texas/36/91 (H1N1) containing genes from the 1918 pandemic influenza A (H1N1) virus developed severe pneumonia within 24 h postinfection. However, virus spread beyond the lungs was only detected in the H5N1 group, and signs of extrapulmonary tissue reactions, including microglia activation and sustained up-regulation of inflammatory markers, most notably hypoxia inducible factor-1α (HIF-1α), were largely limited to this group. Extrapulmonary pathology may thus contribute to the morbidities induced by H5N1 viruses.",A prevailing hypothesis is that the highly pathogenic virus isolates cause a severe cytokinemia precipitating acute respiratory distress syndrome and multiple organ dysfunction syndrome.,"['A_prevailing_hypothesis', 'is', 'that', 'the_highly_pathogenic_virus', 'isolates', 'cause', 'a_severe_cytokinemia', 'precipitating', 'acute_respiratory_distress_syndrome', 'and', 'multiple_organ_dysfunction_syndrome', '.']",A_prevailing_hypothesis is that the_highly_pathogenic_virus isolates cause a_severe_cytokinemia precipitating acute_respiratory_distress_syndrome and multiple_organ_dysfunction_syndrome .,"['A_prevailing_hypothesis', 'the_highly_pathogenic_virus', 'isolates', 'a_severe_cytokinemia', 'acute_respiratory_distress_syndrome', 'multiple_organ_dysfunction_syndrome']"
"There has been significant progress in our knowledge about the relationship between infectious disease and the immune system in relation to asthma, but many unanswered questions still remain. Respiratory tract infections such as those caused by respiratory syncytial virus and rhinovirus during the first two years of life are still clearly associated with later wheezing and asthma, but the mechanism has not been completely worked out. Is there an ‘infectious march’ triggered by infection in infancy that progresses to disease pathology or are infants who contract respiratory infections predisposed to developing asthma? This review focuses on the common themes in the interaction between microbes and the immune system and presents a critical appraisal of the evidence to date. The various mechanisms whereby microbes alter the immune response and how this might influence asthma are discussed along with new and promising clinical practices for prevention and therapy. Recent advances in utilizing sensitive PCR detection methods have allowed more rigorous testing of the causality hypothesis of virus infection leading to asthma, but the evidence is still equivocal. Various exceptions and inconsistencies in the clinical trials are discussed in light of new guidelines for subject inclusion/exclusion in hopes of providing some standardization. In spite of past failures in vaccination and disappointing results of some clinical trials, the new strategies for prophylaxis including RNA interference and targeted delivery of microbicides offer a large dose of hope to a world suffering from an increasing incidence of asthma and a huge burden of healthcare cost and loss of quality of life.","Recent advances in utilizing sensitive PCR detection methods have allowed more rigorous testing of the causality hypothesis of virus infection leading to asthma, but the evidence is still equivocal.","['Recent_advances', 'in', 'utilizing', 'sensitive_PCR_detection_methods', 'have', 'allowed', 'more_rigorous_testing', 'of', 'the_causality_hypothesis', 'of', 'virus_infection', 'leading', 'to', 'asthma', ',', 'but', 'the_evidence', 'is', 'still', 'equivocal', '.']","Recent_advances in utilizing sensitive_PCR_detection_methods have allowed more_rigorous_testing of the_causality_hypothesis of virus_infection leading to asthma , but the_evidence is still equivocal .","['Recent_advances', 'sensitive_PCR_detection_methods', 'more_rigorous_testing', 'the_causality_hypothesis', 'virus_infection', 'asthma', 'the_evidence']"
"BACKGROUND: SARS coronavirus (SARS-CoV) was identified as the etiological agent of SARS, and extensive investigations indicated that it originated from an animal source (probably bats) and was recently introduced into the human population via wildlife animals from wet markets in southern China. Previous studies revealed that the spike (S) protein of SARS had experienced adaptive evolution, but whether other functional proteins of SARS have undergone adaptive evolution is not known. RESULTS: We employed several methods to investigate selective pressure among different SARS-CoV groups representing different epidemic periods and hosts. Our results suggest that most functional proteins of SARS-CoV have experienced a stepwise adaptive evolutionary pathway. Similar to previous studies, the spike protein underwent strong positive selection in the early and middle phases, and became stabilized in the late phase. In addition, the replicase experienced positive selection only in human patients, whereas assembly proteins experienced positive selection mainly in the middle and late phases. No positive selection was found in any proteins of bat SARS-like-CoV. Furthermore, specific amino acid sites that may be the targets of positive selection in each group are identified. CONCLUSION: This extensive evolutionary analysis revealed the stepwise evolution of different functional proteins of SARS-CoVs at different epidemic stages and different hosts. These results support the hypothesis that SARS-CoV originated from bats and that the spill over into civets and humans were more recent events.",These results support the hypothesis that SARS-CoV originated from bats and that the spill over into civets and humans were more recent events.,"['These_results', 'support', 'the_hypothesis', 'that', 'SARS-CoV', 'originated', 'from', 'bats', 'and', 'that', 'the_spill', 'over', 'into', 'civets', 'and', 'humans', 'were', 'more_recent_events', '.']",These_results support the_hypothesis that SARS-CoV originated from bats and that the_spill over into civets and humans were more_recent_events .,"['These_results', 'the_hypothesis', 'SARS-CoV', 'bats', 'the_spill', 'civets', 'humans', 'more_recent_events']"
"The alveolar epithelium serves as a barrier to the entry of potential respiratory pathogens. Alveolar Type II (TII) cells have immunomodulatory functions, but whether Type I (TI) cells, which comprise approximately 95% of the alveolar epithelium, also play a role in immunity is unknown. Because the renin–angiotensin system (RAS) is emerging as an important mediator of inflammation, and angiotensin-converting enzyme 2 (ACE2), an element of the RAS, has been implicated in lung injury, we hypothesize that TI cells can produce cytokines in response to LPS stimulation, and that this inflammation can be modulated by the RAS. Alveolar TI cells were isolated from adult Sprague-Dawley rat lungs that had been injured with an intratracheal instillation of LPS. PCR was performed to determine whether TI cells expressed transcripts for TNF-α, IL-6, or IL-1β at baseline and after lung injury. Immunocytochemical and protein analysis detected angiotensin II (Ang II) and ACE2, as well as angiotensin Type 1 receptor (AT1R) and Type 2 receptor (AT2R), in TI cells. To separate cell-specific responses, primary TI cells were isolated, cultured, and exposed to LPS, Ang II, or specific inhibitors of AT1R or AT2R. Cytokine production was assayed by ELISA. LPS stimulated the production of all cytokines, whereas ACE2 and losartan, an AT1R inhibitor, blocked elements of the LPS-induced cytokine response. Primary TI cells produce cytokines when treated with LPS, contain important components of the RAS, and can modulate LPS-induced cytokine production via the RAS, suggesting a role for TI cells in the innate immune response of the lung.","Because the renin–angiotensin system (RAS) is emerging as an important mediator of inflammation, and angiotensin-converting enzyme 2 (ACE2), an element of the RAS, has been implicated in lung injury, we hypothesize that TI cells can produce cytokines in response to LPS stimulation, and that this inflammation can be modulated by the RAS.","['Because', 'the_renin', '–', 'angiotensin_system', '(', 'RAS', ')', 'is', 'emerging', 'as', 'an_important_mediator', 'of', 'inflammation', ',', 'and', 'angiotensin-converting_enzyme', '2', '(', 'ACE2', ')', ',', 'an_element', 'of', 'the_RAS', ',', 'has', 'been', 'implicated', 'in', 'lung_injury', ',', 'we', 'hypothesize', 'that', 'TI_cells', 'can', 'produce', 'cytokines', 'in', 'response', 'to', 'LPS_stimulation', ',', 'and', 'that', 'this_inflammation', 'can', 'be', 'modulated', 'by', 'the_RAS', '.']","Because the_renin – angiotensin_system ( RAS ) is emerging as an_important_mediator of inflammation , and angiotensin-converting_enzyme 2 ( ACE2 ) , an_element of the_RAS , has been implicated in lung_injury , we hypothesize that TI_cells can produce cytokines in response to LPS_stimulation , and that this_inflammation can be modulated by the_RAS .","['the_renin', 'angiotensin_system', 'RAS', 'an_important_mediator', 'inflammation', 'angiotensin-converting_enzyme', '( ACE2', 'an_element', 'the_RAS', 'lung_injury', 'TI_cells', 'cytokines', 'response', 'LPS_stimulation', 'this_inflammation']"
"This study analyzed a heterologous prime-boost vaccine approach against HIV-1 using three different antigenically unrelated negative-stranded viruses (NSV) expressing HIV-1 Gag as vaccine vectors: rabies virus (RABV), vesicular stomatitis virus (VSV) and Newcastle disease virus (NDV). We hypothesized that this approach would result in more robust cellular immune responses than those achieved with the use of any of the vaccines alone in a homologous prime-boost regimen. To this end, we primed BALB/c mice with each of the NSV-based vectors. Primed mice were rested for thirty-five days after which we administered a second immunization with the same or heterologous NSV-Gag viruses. The magnitude and quality of the Gag-specific CD8(+) T cells in response to these vectors post boost were measured. In addition, we performed challenge experiments using vaccinia virus expressing HIV-1 Gag (VV-Gag) thirty-three days after the boost inoculation. Our results showed that the choice of the vaccine used for priming was important for the detected Gag-specific CD8(+) T cell recall responses post boost and that NDV-Gag appeared to result in a more robust recall of CD8(+) T cell responses independent of the prime vaccine used. However, the different prime-boost strategies were not distinct for the parameters studied in the challenge experiments using VV-Gag but did indicate some benefits compared to single immunizations. Taken together, our data show that NSV vectors can individually stimulate HIV-Gag specific CD8(+) T cells that are effectively recalled by other NSV vectors in a heterologous prime-boost approach. These results provide evidence that RABV, VSV and NDV can be used in combination to develop vaccines needing prime-boost regimens to stimulate effective immune responses.",We hypothesized that this approach would result in more robust cellular immune responses than those achieved with the use of any of the vaccines alone in a homologous prime-boost regimen.,"['We', 'hypothesized', 'that', 'this_approach', 'would', 'result', 'in', 'more_robust_cellular_immune_responses', 'than', 'those', 'achieved', 'with', 'the_use', 'of', 'any', 'of', 'the_vaccines', 'alone', 'in', 'a_homologous_prime-boost_regimen', '.']",We hypothesized that this_approach would result in more_robust_cellular_immune_responses than those achieved with the_use of any of the_vaccines alone in a_homologous_prime-boost_regimen .,"['this_approach', 'more_robust_cellular_immune_responses', 'the_vaccines', 'a_homologous_prime-boost_regimen']"
"As a transmissible infectious disease, severe acute respiratory syndrome (SARS) was successfully contained globally by instituting widespread quarantine measures. Although these measures were successful in terminating the outbreak in all areas of the world, the adverse effects of quarantine have not previously been determined in a systematic manner. In this hypothesis-generating study supported by a convenience sample drawn in close temporal proximity to the period of quarantine, we examined the psychological effects of quarantine on persons in Toronto, Canada. The 129 quarantined persons who responded to a Web-based survey exhibited a high prevalence of psychological distress. Symptoms of posttraumatic stress disorder (PTSD) and depression were observed in 28.9% and 31.2% of respondents, respectively. Longer durations of quarantine were associated with an increased prevalence of PTSD symptoms. Acquaintance with or direct exposure to someone with a diagnosis of SARS was also associated with PTSD and depressive symptoms.","In this hypothesis-generating study supported by a convenience sample drawn in close temporal proximity to the period of quarantine, we examined the psychological effects of quarantine on persons in Toronto, Canada.","['In', 'this_hypothesis-generating_study', 'supported', 'by', 'a_convenience_sample', 'drawn', 'in', 'close_temporal_proximity', 'to', 'the_period', 'of', 'quarantine', ',', 'we', 'examined', 'the_psychological_effects', 'of', 'quarantine', 'on', 'persons', 'in', 'Toronto', ',', 'Canada', '.']","In this_hypothesis-generating_study supported by a_convenience_sample drawn in close_temporal_proximity to the_period of quarantine , we examined the_psychological_effects of quarantine on persons in Toronto , Canada .","['this_hypothesis-generating_study', 'a_convenience_sample', 'close_temporal_proximity', 'the_period', 'quarantine', 'the_psychological_effects', 'quarantine', 'persons', 'Toronto', 'Canada']"
"Statistical inference for mechanistic models of partially observed dynamic systems is an active area of research. Most existing inference methods place substantial restrictions upon the form of models that can be fitted and hence upon the nature of the scientific hypotheses that can be entertained and the data that can be used to evaluate them. In contrast, the so-called plug-and-play methods require only simulations from a model and are thus free of such restrictions. We show the utility of the plug-and-play approach in the context of an investigation of measles transmission dynamics. Our novel methodology enables us to ask and answer questions that previous analyses have been unable to address. Specifically, we demonstrate that plug-and-play methods permit the development of a modelling and inference framework applicable to data from both large and small populations. We thereby obtain novel insights into the nature of heterogeneity in mixing and comment on the importance of including extra-demographic stochasticity as a means of dealing with environmental stochasticity and model misspecification. Our approach is readily applicable to many other epidemiological and ecological systems.",Most existing inference methods place substantial restrictions upon the form of models that can be fitted and hence upon the nature of the scientific hypotheses that can be entertained and the data that can be used to evaluate them.,"['Most_existing_inference_methods', 'place', 'substantial_restrictions', 'upon', 'the_form', 'of', 'models', 'that', 'can', 'be', 'fitted', 'and', 'hence', 'upon', 'the_nature', 'of', 'the_scientific_hypotheses', 'that', 'can', 'be', 'entertained', 'and', 'the_data', 'that', 'can', 'be', 'used', 'to', 'evaluate', 'them', '.']",Most_existing_inference_methods place substantial_restrictions upon the_form of models that can be fitted and hence upon the_nature of the_scientific_hypotheses that can be entertained and the_data that can be used to evaluate them .,"['Most_existing_inference_methods', 'substantial_restrictions', 'the_form', 'models', 'the_nature', 'the_scientific_hypotheses', 'the_data']"
"Feline infectious peritonitis (FIP) results from mutations in the viral genome during a common feline enteric coronavirus (FECV) infection. Since many virological and immunological data on FECV infections are lacking, the present study investigated these missing links during experimental infection of three SPF cats with FECV strain UCD. Two cats showed mild clinical signs, faecal shedding of infectious virus from 4 dpi, a cell-associated viraemia at inconsistent time points from 5 dpi, a highly neutralising antibody response from 9 dpi, and no major abnormalities in leukocyte numbers. Faecal shedding lasted for 28–56 days, but virus shed during this stage was less infectious in enterocyte cultures and affected by mutations. Remarkably, in the other cat neither clinical signs nor acute shedding were seen, but virus was detected in blood cells from 3 dpi, and shedding of non-enterotropic, mutated viruses suddenly occurred from 14 dpi onwards. Neutralising antibodies arose from 21 dpi. Leukocyte numbers were not different compared to the other cats, except for the CD8(+) regulatory T cells. These data indicate that FECV can infect immune cells even in the absence of intestinal replication and raise the hypothesis that the gradual adaptation to these cells can allow non-enterotropic mutants to arise.",These data indicate that FECV can infect immune cells even in the absence of intestinal replication and raise the hypothesis that the gradual adaptation to these cells can allow non-enterotropic mutants to arise.,"['These_data', 'indicate', 'that', 'FECV', 'can', 'infect', 'immune_cells', 'even', 'in', 'the_absence', 'of', 'intestinal_replication', 'and', 'raise', 'the_hypothesis', 'that', 'the_gradual_adaptation', 'to', 'these_cells', 'can', 'allow', 'non-enterotropic_mutants', 'to', 'arise', '.']",These_data indicate that FECV can infect immune_cells even in the_absence of intestinal_replication and raise the_hypothesis that the_gradual_adaptation to these_cells can allow non-enterotropic_mutants to arise .,"['These_data', 'FECV', 'immune_cells', 'intestinal_replication', 'the_hypothesis', 'the_gradual_adaptation', 'these_cells', 'non-enterotropic_mutants']"
"We tested the role of the “spring-loaded” conformational change in the fusion mechanism of the influenza hemagglutinin (HA) by assessing the effects of 10 point mutants in the region of high coiled-coil propensity, HA2 54–81. The mutants included proline substitutions at HA2 55, 71, and 80, as well as a double proline substitution at residues 55 and 71. Mutants were expressed in COS or 293T cells and assayed for cell surface expression and structural features as well as for their ability to change conformation and induce fusion at low pH. We found the following: Specific mutations affected the precise carbohydrate structure and folding of the HA trimer. All of the mutants, however, formed trimers that could be expressed at the cell surface in a form that could be proteolytically cleaved from the precursor, HA0, to the fusion-permissive form, HA1-S-S-HA2. All mutants reacted with an antibody against the major antigenic site and bound red blood cells. Seven out of ten mutants displayed a wild-type (wt) or moderately elevated pH dependence for the conformational change. V55P displayed a substantial reduction (∼60– 80%) in the initial rate of lipid mixing. The other single mutants displayed efficient fusion with the same pH dependence as wt-HA. The double proline mutant V55P/ S71P displayed no fusion activity despite being well expressed at the cell surface as a proteolytically cleaved trimer that could bind red blood cells and change conformation at low pH. The impairment in fusion for both V55P and V55P/S71P was at the level of outer leaflet lipid mixing. We interpret our results in support of the hypothesis that the spring-loaded conformational change is required for fusion. An alternate model is discussed.",We interpret our results in support of the hypothesis that the spring-loaded conformational change is required for fusion.,"['We', 'interpret', 'our_results', 'in', 'support', 'of', 'the_hypothesis', 'that', 'the_spring-loaded_conformational_change', 'is', 'required', 'for', 'fusion', '.']",We interpret our_results in support of the_hypothesis that the_spring-loaded_conformational_change is required for fusion .,"['our_results', 'support', 'the_hypothesis', 'fusion']"
"Coronaviride is a colossal family of viruses that cause a variety of diseases in humans and other animals. As of late, a novel coronavirus, not anterior-optically discerned in humans, has been identified in a denizen of the Middle East. There is growing evidence that the Camelus dromedarius is host species for the virus and plays an important role of a source of human infection. Along these lines, the authors decided to detect coronaviruses in dromedary camels in two high-risk areas of Iran by employing an reverse transcription polymerase chain reaction (RT-PCR) assay. In the present study, nasal swab specimens were collected from 98 camels (C. dromedarius) traditionally reared in southeast and northwest of Iran. The detection of pancoronavirus was carried out, using RT-PCR. Pancoronavirus RNA was observed in seven cases among 98 nasal swab samples. Among these, 4 positive samples belonged to Azerbaijan province located in northwest of Iran and 3 positive samples were taken from southeast of Iran. The results of this study contribute to raising the hypothesis to the extent of transmission and risk factors for human infection and public health in Iran.",The results of this study contribute to raising the hypothesis to the extent of transmission and risk factors for human infection and public health in Iran.,"['The_results', 'of', 'this_study', 'contribute', 'to', 'raising', 'the_hypothesis', 'to', 'the_extent', 'of', 'transmission_and_risk_factors', 'for', 'human_infection', 'and', 'public_health', 'in', 'Iran', '.']",The_results of this_study contribute to raising the_hypothesis to the_extent of transmission_and_risk_factors for human_infection and public_health in Iran .,"['The_results', 'this_study', 'the_hypothesis', 'the_extent', 'transmission_and_risk_factors', 'human_infection', 'public_health', 'Iran']"
"AIM: Enterovirus 71 (EV71) has been implicated as the etiological agent responsible for the recent outbreaks of hand, foot and mouth disease associated with severe neurological diseases in the Asia-Pacific region. METHODS: The assembly process was hypothesized to occur via an orchestrated proteolytic processing of the P1 precursor by the viral protease 3CD. To test this hypothesis, we constructed 3 recombinant baculoviruses: Bac-P1 expressing P1; Bac-3CD expressing 3CD; and Bac-P1-3CD co-expressing P1 and 3CD. RESULTS: Both single infection by Bac-P1-3CD and co-infection by Bac-P1 and Bac-3CD resulted in correct cleavage of P1 to yield individual proteins VP0, VP1 and VP3, while the former approach yielded higher VLP production. In the cells, the structural proteins self-assembled into clusters of virus-like particles (VLP) resembling the authentic EV71 particle aggregates. After ultracentrifugation purification, the dispersed VLPs were indistinguishable from the authentic virus in size, appearance, composition and surface epitopes, as determined by SDS-PAGE, Western blot, transmission electron microscopy and immunogold labeling. CONCLUSION: Our data, for the first time, suggest that in insect cells EV71 structural proteins adopt a processing and assembly pathway similar to poliovirus assembly. The preservation of particle morphology and composition suggest that the VLP may be a valuable vaccine candidate to prevent EV71 epidemics.",The assembly process was hypothesized to occur via an orchestrated proteolytic processing of the P1 precursor by the viral protease 3CD.,"['The_assembly_process', 'was', 'hypothesized', 'to', 'occur', 'via', 'an_orchestrated_proteolytic_processing', 'of', 'the_P1_precursor', 'by', 'the', 'viral', 'protease', '3CD', '.']",The_assembly_process was hypothesized to occur via an_orchestrated_proteolytic_processing of the_P1_precursor by the viral protease 3CD .,"['The_assembly_process', 'the_P1_precursor', 'protease']"
"Discovering new binding function via a combinatorial library in small protein scaffolds requires balance between appropriate mutations to introduce favorable intermolecular interactions while maintaining intramolecular integrity. Sitewise constraints exist in a non-spatial gradient from diverse to conserved in evolved antibody repertoires; yet non-antibody scaffolds generally do not implement this strategy in combinatorial libraries. Despite the fact that biased amino acid distributions, typically elevated in tyrosine, serine, and glycine, have gained wider use in synthetic scaffolds, these distributions are still predominantly applied uniformly to diversified sites. While select sites in fibronectin domains and DARPins have shown benefit from sitewise designs, they have not been deeply evaluated. Inspired by this disparity between diversity distributions in natural libraries and synthetic scaffold libraries, we hypothesized that binders resulting from discovery and evolution would exhibit a non-spatial, sitewise gradient of amino acid diversity. To identify sitewise diversities consistent with efficient evolution in the context of a hydrophilic fibronectin domain, >10(5) binders to six targets were evolved and sequenced. Evolutionarily favorable amino acid distributions at 25 sites reveal Shannon entropies (range: 0.3–3.9; median: 2.1; standard deviation: 1.1) supporting the diversity gradient hypothesis. Sitewise constraints in evolved sequences are consistent with complementarity, stability, and consensus biases. Implementation of sitewise constrained diversity enables direct selection of nanomolar affinity binders validating an efficient strategy to balance inter- and intra-molecular interaction demands at each site.","Inspired by this disparity between diversity distributions in natural libraries and synthetic scaffold libraries, we hypothesized that binders resulting from discovery and evolution would exhibit a non-spatial, sitewise gradient of amino acid diversity.","['Inspired', 'by', 'this_disparity', 'between', 'diversity_distributions', 'in', 'natural_libraries', 'and', 'synthetic_scaffold_libraries', ',', 'we', 'hypothesized', 'that', 'binders', 'resulting', 'from', 'discovery', 'and', 'evolution', 'would', 'exhibit', 'a_non-spatial,_sitewise_gradient', 'of', 'amino_acid_diversity', '.']","Inspired by this_disparity between diversity_distributions in natural_libraries and synthetic_scaffold_libraries , we hypothesized that binders resulting from discovery and evolution would exhibit a_non-spatial,_sitewise_gradient of amino_acid_diversity .","['this_disparity', 'diversity_distributions', 'natural_libraries', 'synthetic_scaffold_libraries', 'binders', 'discovery', 'evolution', 'a_non-spatial,_sitewise_gradient', 'amino_acid_diversity']"
"Experimental evidence shows that synonymous mutations can have important consequences on genetic fitness. Many organisms display codon usage bias (CUB), where synonymous codons that are translated into the same amino acid appear with distinct frequency. Within genomes, CUB is thought to arise from selection for translational efficiency and accuracy, termed the translational efficiency hypothesis (TEH). Indeed, CUB indices correlate with protein expression levels, which is widely interpreted as evidence for translational selection. However, these tests neglect -1 programmed ribosomal frameshifting (-1 PRF), an important translational disruption effect found across all organisms of the tree of life. Genes that contain -1 PRF signals should cost more to express than genes without. Thus, CUB indices that do not consider -1 PRF may overestimate genes’ true adaptation to translational efficiency and accuracy constraints. Here, we first investigate whether -1 PRF signals do indeed carry such translational cost. We then propose two corrections for CUB indices for genes containing -1 PRF signals. We retest the TEH in Saccharomyces cerevisiae under these corrections. We find that the correlation between corrected CUB index and protein expression remains intact for most levels of uniform -1 PRF efficiencies, and tends to increase when these efficiencies decline with protein expression. We conclude that the TEH is strengthened and that -1 PRF events constitute a promising and useful tool to examine the relationships between CUB and selection for translation efficiency and accuracy.","Within genomes, CUB is thought to arise from selection for translational efficiency and accuracy, termed the translational efficiency hypothesis (TEH).","['Within', 'genomes', ',', 'CUB', 'is', 'thought', 'to', 'arise', 'from', 'selection', 'for', 'translational_efficiency', 'and', 'accuracy', ',', 'termed', 'the_translational_efficiency_hypothesis', '(TEH', ')', '.']","Within genomes , CUB is thought to arise from selection for translational_efficiency and accuracy , termed the_translational_efficiency_hypothesis (TEH ) .","['genomes', 'CUB', 'selection', 'translational_efficiency', 'accuracy', 'the_translational_efficiency_hypothesis', 'TEH']"
"Expression of the astrovirus RNA-dependent RNA polymerase has been hypothesized to be regulated by (− 1) ribosomal frameshifting. Sequence analysis of the 70 nucleotide region between open reading frames 1a and 1b indicates the presence of a shifty heptamer consensus sequence and downstream sequences that may be needed for ribosomal frameshifting. We constructed four astrovirus cassettes that spanned this region and inserted each into the rhesus rotavirus VP4 gene. The constructs were expressed in an in vitro system, and products were immunoprecipitated by rotavirus amino and carboxy terminal-specific monoclonal antibodies. Ribosomal frameshifting, at an efficiency of 6–7%, was demonstrated in all constructs containing the shifty heptamer and stem-loop. Deletion of the downstream sequence potentially involved in pseudoknot formation did not affect frameshifting efficiency. However, deletion of the shifty heptamer resulted in no detectable frameshift activity.",Expression of the astrovirus RNA-dependent RNA polymerase has been hypothesized to be regulated by (− 1) ribosomal frameshifting.,"['Expression', 'of', 'the_astrovirus_RNA-dependent_RNA_polymerase', 'has', 'been', 'hypothesized', 'to', 'be', 'regulated', 'by', '(−_1)_ribosomal_frameshifting', '.']",Expression of the_astrovirus_RNA-dependent_RNA_polymerase has been hypothesized to be regulated by (−_1)_ribosomal_frameshifting .,"['Expression', 'the_astrovirus_RNA-dependent_RNA_polymerase']"
"Abstract Bats have been identified as the hosts of hepatitis B virus (HBV) in recent years and bats HBV can infect human hepatocyte. We investigated the prevalence and genetic diversity of HBV in bats in China. In this study, a total of 197 insectivorous bats belonging to 10 bat species were captured from karst caves in Mengyin County, Shandong Province and Xianning City, Hubei Province, China. PCR amplification indicated that in total 6.6% (13/197) bats were positive to HBVs. The HBV positive rate in bats was 7.1% (9/127) and 5.7% (4/70) in Shandong Province and Hubei Province, respectively. Phylogenetic analysis indicated that HBV from the two places were in the same cluster with 90.5%–99.5% homology, but distinct from bat HBVs from other places in China and other countries. We concluded that HBV was prevalent and genetic diversified in bats, supporting the hypothesis that bats may be the origin of primate hepadnaviruses.","We concluded that HBV was prevalent and genetic diversified in bats, supporting the hypothesis that bats may be the origin of primate hepadnaviruses.","['We', 'concluded', 'that', 'HBV', 'was', 'prevalent', 'and', 'genetic', 'diversified', 'in', 'bats', ',', 'supporting', 'the_hypothesis', 'that', 'bats', 'may', 'be', 'the_origin', 'of', 'primate_hepadnaviruses', '.']","We concluded that HBV was prevalent and genetic diversified in bats , supporting the_hypothesis that bats may be the_origin of primate_hepadnaviruses .","['HBV', 'bats', 'the_hypothesis', 'bats', 'the_origin', 'primate_hepadnaviruses']"
